feedback_id,order_id,rating,review,feedback_time
5001,4001,4.9,Not happy with delay.,2025-03-14 05:18:00
5002,4002,4.2,Impressed by the premium handling.,2025-05-01 06:49:00
5003,4003,4.6,"Fast delivery, excellent packaging.",2025-01-24 08:20:00
5004,4004,4.6,"Fast delivery, excellent packaging.",2025-05-21 09:40:00
5005,4005,4.6,Not happy with delay.,2025-03-23 19:36:00
5006,4006,4.9,"Packaging top-notch, will order again.",2025-01-08 04:16:00
5007,4007,4.0,Product was great but delivery delayed.,2025-04-04 09:24:00
5008,4008,4.1,"Packaging top-notch, will order again.",2025-02-06 20:00:00
5009,4009,3.8,"Order was cancelled, disappointed.",2025-01-05 16:07:00
5010,4010,4.4,"Order was cancelled, disappointed.",2025-01-25 00:52:00
5011,4011,4.1,Satisfied with service.,2025-05-02 23:49:00
5012,4012,3.2,"Order was cancelled, disappointed.",2025-05-11 20:20:00
5013,4013,4.2,Satisfied with service.,2025-02-28 21:46:00
5014,4014,3.6,"Fast delivery, excellent packaging.",2025-01-11 22:27:00
5015,4015,4.0,Impressed by the premium handling.,2025-01-31 13:02:00
5016,4016,4.5,On-time and professional rider.,2025-04-05 16:09:00
5017,4017,4.3,Product was great but delivery delayed.,2025-04-18 08:01:00
5018,4018,4.2,Satisfied with service.,2025-05-09 06:56:00
5019,4019,4.3,Good but expected faster.,2025-03-27 22:08:00
5020,4020,4.4,Impressed by the premium handling.,2025-03-10 12:46:00
5021,4021,4.1,"Amazing experience, five stars.",2025-01-27 01:17:00
5022,4022,5.0,Good but expected faster.,2025-04-26 14:25:00
5023,4023,5.0,Impressed by the premium handling.,2025-04-04 08:42:00
5024,4024,4.7,Good but expected faster.,2025-04-02 03:39:00
5025,4025,4.7,Not happy with delay.,2025-01-03 10:55:00
5026,4026,5.0,Good but expected faster.,2025-02-26 06:11:00
5027,4027,5.0,Satisfied with service.,2025-04-24 13:59:00
5028,4028,3.7,Impressed by the premium handling.,2025-02-04 13:31:00
5029,4029,5.0,"Amazing experience, five stars.",2025-02-27 08:17:00
5030,4030,5.0,"Order was cancelled, disappointed.",2025-03-23 06:19:00
5031,4031,5.0,Good but expected faster.,2025-01-09 04:16:00
5032,4032,4.9,"Amazing experience, five stars.",2025-03-08 16:48:00
5033,4033,4.8,Impressed by the premium handling.,2025-05-10 19:23:00
5034,4034,4.7,"Amazing experience, five stars.",2025-01-17 03:07:00
5035,4035,4.7,On-time and professional rider.,2025-02-20 19:58:00
5036,4036,4.8,On-time and professional rider.,2025-01-29 21:51:00
5037,4037,5.0,Good but expected faster.,2025-02-28 12:34:00
5038,4038,4.9,Good but expected faster.,2025-01-16 04:40:00
5039,4039,5.0,Good but expected faster.,2025-01-16 08:43:00
5040,4040,4.1,Product was great but delivery delayed.,2025-01-07 20:48:00
5041,4041,4.3,Not happy with delay.,2025-01-26 09:51:00
5042,4042,5.0,"Amazing experience, five stars.",2025-05-13 01:20:00
5043,4043,4.5,"Packaging top-notch, will order again.",2025-04-14 15:16:00
5044,4044,5.0,"Fast delivery, excellent packaging.",2025-04-09 20:51:00
5045,4045,4.7,Good but expected faster.,2025-01-31 11:30:00
5046,4046,4.4,Satisfied with service.,2025-03-26 02:24:00
5047,4047,4.9,On-time and professional rider.,2025-01-11 10:45:00
5048,4048,4.7,On-time and professional rider.,2025-02-23 03:57:00
5049,4049,4.9,"Order was cancelled, disappointed.",2025-04-17 02:25:00
5050,4050,4.7,"Fast delivery, excellent packaging.",2025-05-07 04:24:00
5051,4051,4.6,"Amazing experience, five stars.",2025-04-03 02:47:00
5052,4052,4.5,Impressed by the premium handling.,2025-03-18 13:58:00
5053,4053,5.0,"Fast delivery, excellent packaging.",2025-02-17 15:02:00
5054,4054,5.0,Not happy with delay.,2025-04-05 23:51:00
5055,4055,4.8,Good but expected faster.,2025-03-24 05:23:00
5056,4056,3.1,Satisfied with service.,2025-03-03 00:09:00
5057,4057,4.9,"Amazing experience, five stars.",2025-05-14 21:42:00
5058,4058,5.0,"Amazing experience, five stars.",2025-05-07 18:12:00
5059,4059,4.2,Good but expected faster.,2025-04-07 13:08:00
5060,4060,5.0,Not happy with delay.,2025-03-29 14:01:00
5061,4061,5.0,Good but expected faster.,2025-01-30 11:12:00
5062,4062,4.8,Good but expected faster.,2025-04-08 14:13:00
5063,4063,5.0,"Fast delivery, excellent packaging.",2025-03-08 23:30:00
5064,4064,4.5,Satisfied with service.,2025-04-18 22:14:00
5065,4065,5.0,"Amazing experience, five stars.",2025-02-22 22:41:00
5066,4066,5.0,"Order was cancelled, disappointed.",2025-05-13 08:05:00
5067,4067,4.1,Good but expected faster.,2025-01-12 13:04:00
5068,4068,4.3,Product was great but delivery delayed.,2025-02-15 21:11:00
5069,4069,4.6,Impressed by the premium handling.,2025-03-11 21:59:00
5070,4070,4.7,Good but expected faster.,2025-01-17 18:09:00
5071,4071,5.0,Good but expected faster.,2025-04-13 01:11:00
5072,4072,4.2,"Amazing experience, five stars.",2025-03-22 07:26:00
5073,4073,5.0,On-time and professional rider.,2025-05-13 01:43:00
5074,4074,4.0,"Packaging top-notch, will order again.",2025-03-16 20:56:00
5075,4075,5.0,Impressed by the premium handling.,2025-02-13 18:24:00
5076,4076,4.3,On-time and professional rider.,2025-03-14 07:54:00
5077,4077,3.8,"Fast delivery, excellent packaging.",2025-02-15 07:40:00
5078,4078,4.8,Product was great but delivery delayed.,2025-01-12 21:12:00
5079,4079,4.5,"Packaging top-notch, will order again.",2025-01-05 01:46:00
5080,4080,4.0,Impressed by the premium handling.,2025-05-17 23:04:00
5081,4081,4.2,On-time and professional rider.,2025-01-28 04:53:00
5082,4082,5.0,Satisfied with service.,2025-04-03 15:09:00
5083,4083,5.0,Satisfied with service.,2025-05-14 07:59:00
5084,4084,5.0,Not happy with delay.,2025-04-11 00:02:00
5085,4085,4.5,Good but expected faster.,2025-01-11 19:45:00
5086,4086,4.8,Product was great but delivery delayed.,2025-01-20 08:59:00
